Date,NetIncome,DA,Other_Non_Cash_Items,Total_Non_Cash_Items,Change_In_Accounts_Receivable,Change_In_Inventories,Change_In_Accounts_Payable,Change_In_Assets_Liabilities,Total_Change_In_Assets_Liabilities,CFO,Net_Change_In_Property_Plant_And_Equipment,Net_Change_In_Intangible_Assets,Net_Acquisitions_Divestitures,Net_Change_In_Short_term_Investments,Net_Change_In_Long_Term_Investments,Net_Change_In_Investments_Total,Investing_Activities_Other,Cash_Flow_From_Investing_Activities,Net_Long_Term_Debt,Net_Current_Debt,Debt_Issuance_Retirement_Net_Total,Net_Common_Equity_Issued_Repurchased,Net_Total_Equity_Issued_Repurchased,Total_Common_And_Preferred_Stock_Dividends_Paid,Financial_Activities_Other,Cash_Flow_From_Financial_Activities,Net_Cash_Flow,Stock_Based_Compensation,Common_Stock_Dividends_Paid,Year,Capex,FCF,Scenario
2022-09-30,99.803,11.104,10044.0,21148.0,-1823.0,1484.0,9448.0,-7909.0,1200.0,122.151,-10708.0,NaN,NaN,-9560.0,NaN,-9560.0,-2086.0,-22354.0,-4078.0,3955.0,-123.0,-89402.0,-89402.0,-14841.0,-6383.0,-110749.0,-10952.0,9038.0,-14841.0,2022,10.708,111.443,Actual
2023-09-30,96.995,11.519,8606.0,20125.0,-1688.0,-1618.0,-1889.0,-1382.0,-6577.0,110.543,-10959.0,NaN,NaN,16001.0,NaN,16001.0,-1337.0,3705.0,-5923.0,-3978.0,-9901.0,-77550.0,-77550.0,-15025.0,-6012.0,-108488.0,5760.0,10833.0,-15025.0,2023,10.959,99.584,Actual
2024-09-30,93.736,11.445,9422.0,20867.0,-3788.0,-1046.0,6020.0,2465.0,3651.0,118.254,-9447.0,NaN,NaN,13690.0,NaN,13690.0,-1308.0,2935.0,-9958.0,3960.0,-5998.0,-94949.0,-94949.0,-15234.0,-5802.0,-121983.0,-794.0,11688.0,-15234.0,2024,9.447,108.807,Actual
2025-09-30,112.01,11.698,12774.0,24472.0,-6682.0,1400.0,902.0,-20620.0,-25000.0,111.482,-12715.0,NaN,NaN,29390.0,NaN,29390.0,-1480.0,15195.0,-6451.0,-2032.0,-8483.0,-90711.0,-90711.0,-15421.0,-6071.0,-120686.0,5991.0,12863.0,-15421.0,2025,12.715,98.767,Actual
2018-09-30,59.531,10.903,-27694.0,-16791.0,-5322.0,828.0,9175.0,30013.0,34694.0,77.434,-13313.0,NaN,-721.0,32363.0,-1518.0,30845.0,-745.0,16066.0,469.0,-37.0,432.0,-72069.0,-72069.0,-13712.0,-2527.0,-87876.0,5624.0,5340.0,-13712.0,2018,13.313,64.121,Actual
2019-09-30,55.256,12.547,5076.0,17623.0,245.0,-289.0,-1923.0,-1521.0,-3488.0,69.391,-10495.0,NaN,-624.0,57460.0,633.0,58093.0,-1078.0,45896.0,-1842.0,-5977.0,-7819.0,-66116.0,-66116.0,-14119.0,-2922.0,-90976.0,24311.0,6068.0,-14119.0,2019,10.495,58.89600000000001,Actual
2020-09-30,57.411,11.056,6517.0,17573.0,6917.0,-127.0,-4062.0,2962.0,5690.0,80.674,-7309.0,NaN,-1524.0,5453.0,NaN,5453.0,-909.0,-4289.0,3462.0,-963.0,2499.0,-72358.0,-72358.0,-14081.0,-2880.0,-86820.0,-10435.0,6829.0,-14081.0,2020,7.309,73.36500000000001,Actual
2021-09-30,94.68,11.284,2985.0,14269.0,-10125.0,-2642.0,12326.0,-4470.0,-4911.0,104.038,-11085.0,NaN,NaN,-3075.0,NaN,-3075.0,-385.0,-14545.0,11643.0,1022.0,12665.0,-85971.0,-85971.0,-14467.0,-5580.0,-93353.0,-3860.0,7906.0,-14467.0,2021,11.085,92.953,Actual
2016-09-30,45.687,10.505,9634.0,20139.0,527.0,217.0,2117.0,-2456.0,405.0,66.231,-12734.0,-297.0,NaN,-30634.0,-1388.0,-32022.0,-924.0,-45977.0,22454.0,-397.0,22057.0,-30797.0,-30797.0,-12150.0,NaN,-20890.0,-636.0,4210.0,-12150.0,2016,12.734,53.49699999999999,Actual
2017-09-30,48.351,10.157,10640.0,20797.0,-2093.0,-2723.0,8966.0,-9073.0,-4923.0,64.225,-12451.0,NaN,-329.0,-33147.0,-395.0,-33542.0,-124.0,-46446.0,25162.0,3852.0,29014.0,-32345.0,-32345.0,-12769.0,-1874.0,-17974.0,-195.0,4840.0,-12769.0,2017,12.451,51.773999999999994,Actual
