Date,Cash,AR,Inventory,Pre_Paid_Expenses,Other_Current_Assets,Total_Current_Assets,Property_Plant_And_Equipment,Long_Term_Investments,Goodwill_And_Intangible_Assets,Other_Long_Term_Assets,Total_Long_Term_Assets,TotalAssets,Total_Current_Liabilities,LTDebt,Other_Non_Current_Liabilities,Total_Long_Term_Liabilities,TotalLiab,Common_Stock_Net,Retained_Earnings_Accumulated_Deficit_,Comprehensive_Income,Other_Share_Holders_Equity,Equity,Total_Liabilities_And_Share_Holders_Equity,Year,Scenario
2022-09-30,48.304,60.932,4.946,NaN,21223.0,135405.0,42117.0,120805.0,NaN,54428.0,217350.0,352.755,153982.0,98.959,49142.0,148101.0,302.083,64849.0,-3068.0,-11109.0,NaN,50.672,352755.0,2022,Actual
2023-09-30,61.555,60.985,6.331,NaN,14695.0,143566.0,43715.0,100544.0,NaN,64758.0,209017.0,352.583,145308.0,95.281,49848.0,145129.0,290.437,73812.0,-214.0,-11452.0,NaN,62.146,352583.0,2023,Actual
2024-09-30,65.171,66.243,7.286,NaN,14287.0,152987.0,45680.0,91479.0,NaN,74834.0,211993.0,364.98,176392.0,85.75,45888.0,131638.0,308.03,83276.0,-19154.0,-7172.0,NaN,56.95,364980.0,2024,Actual
2025-09-30,54.697,72.957,5.718,NaN,14585.0,147957.0,49834.0,77723.0,NaN,83727.0,211284.0,359.241,165631.0,78.328,41549.0,119877.0,285.508,93568.0,-14264.0,-5571.0,NaN,73.733,359241.0,2025,Actual
2018-09-30,66.301,48.995,3.956,NaN,12087.0,131339.0,41304.0,170799.0,NaN,22283.0,234386.0,365.725,115929.0,93.735,48914.0,142649.0,258.578,40201.0,70400.0,-3454.0,NaN,107.147,365725.0,2018,Actual
2019-09-30,100.557,45.804,4.106,NaN,12352.0,162819.0,37378.0,105341.0,NaN,32978.0,175697.0,338.516,105718.0,91.807,50503.0,142310.0,248.028,45174.0,45898.0,-584.0,NaN,90.488,338516.0,2019,Actual
2020-09-30,90.943,37.445,4.061,NaN,11264.0,143713.0,36766.0,100887.0,NaN,42522.0,180175.0,323.888,105392.0,98.667,54490.0,153157.0,258.549,50779.0,14966.0,-406.0,NaN,65.339,323888.0,2020,Actual
2021-09-30,62.639,51.506,6.58,NaN,14111.0,134836.0,39440.0,127877.0,NaN,48849.0,216166.0,351.002,125481.0,109.106,53325.0,162431.0,287.912,57365.0,5562.0,163.0,NaN,63.09,351002.0,2021,Actual
2016-09-30,67.155,29.299,2.132,NaN,8283.0,106869.0,27010.0,170430.0,8620.0,8757.0,214817.0,321.686,79006.0,75.427,36074.0,114431.0,193.437,31251.0,96364.0,634.0,NaN,128.249,321686.0,2016,Actual
2017-09-30,74.181,35.673,4.855,NaN,13936.0,128645.0,33783.0,194714.0,NaN,18177.0,246674.0,375.319,100814.0,97.207,40415.0,140458.0,241.272,35867.0,98330.0,-150.0,NaN,134.047,375319.0,2017,Actual
