WACC_pct,TerminalGrowth_pct,PV_FCFs_Bn,PV_TerminalValue_Bn,EnterpriseValue_Bn,ImpliedSharePrice_USD,DCF_ID
10.0,3.0,436.8,998.6,1435.4,81.27,10.0_3.0
10.0,3.5,436.8,1080.6,1517.4,86.1,10.0_3.5
11.0,1.0,423.6,649.2,1072.8,59.94,11.0_1.0
11.0,2.0,423.6,728.5,1152.0,64.6,11.0_2.0
11.0,2.5,423.6,775.1,1198.7,67.35,11.0_2.5
11.0,3.0,423.6,827.6,1251.1,70.43,11.0_3.0
11.0,3.5,423.6,887.0,1310.6,73.93,11.0_3.5
9.0,2.5,450.7,1130.4,1581.2,89.85,9.0_2.5
9.0,3.0,450.7,1230.6,1681.3,95.74,9.0_3.0
9.0,3.5,450.7,1349.0,1799.7,102.7,9.0_3.5
10.0,1.0,436.8,761.6,1198.4,67.33,10.0_1.0
10.0,2.0,436.8,865.3,1302.1,73.43,10.0_2.0
10.0,2.5,436.8,927.5,1364.3,77.09,10.0_2.5
8.0,2.0,465.3,1288.0,1753.3,99.97,8.0_2.0
8.0,2.5,465.3,1411.9,1877.3,107.26,8.0_2.5
8.0,3.0,465.3,1560.7,2026.0,116.02,8.0_3.0
8.0,3.5,465.3,1742.5,2207.9,126.71,8.0_3.5
9.0,1.0,450.7,905.0,1355.8,76.59,9.0_1.0
9.0,2.0,450.7,1044.6,1495.3,84.8,9.0_2.0
7.0,1.0,480.7,1348.5,1829.2,104.44,7.0_1.0
7.0,2.0,480.7,1634.3,2114.9,121.25,7.0_2.0
7.0,2.5,480.7,1824.8,2305.4,132.45,7.0_2.5
7.0,3.0,480.7,2062.9,2543.5,146.46,7.0_3.0
7.0,3.5,480.7,2369.0,2849.7,164.47,7.0_3.5
8.0,1.0,465.3,1093.1,1558.5,88.51,8.0_1.0
