Year,Revenue,GrossProfit,EBIT,NetIncome,GrossMargin_pct,EBITMargin_pct,NetMargin_pct,Scenario,CFO,FCF,Capex,MasterDashboard_ID
2023,383.285,169.148,114.301,96.995,44.13,29.82,25.31,Actual,110.543,99.584,10.959,2023_Actual
2024,391.035,180.683,123.216,93.736,46.21,31.51,23.97,Actual,118.254,108.807,9.447,2024_Actual
2025,416.161,195.201,133.05,112.01,46.91,31.97,26.92,Actual,111.482,98.767,12.715,2025_Actual
2026,445.29,169.21,115.78,87.95,38.0,26.0,19.8,Base,107.98,85.72,22.26,2026_Base
2026,432.81,151.48,95.22,69.98,35.0,22.0,16.2,Bear,91.63,67.82,23.8,2026_Bear
2026,453.62,181.45,131.55,101.61,40.0,29.0,22.4,Bull,119.75,99.34,20.41,2026_Bull
2027,476.46,181.06,123.88,94.1,38.0,26.0,19.7,Base,115.54,91.72,23.82,2027_Base
2016,215.639,84.263,60.024,45.687,39.08,27.84,21.19,Actual,66.231,53.49699999999999,12.734,2016_Actual
2017,229.234,88.186,61.344,48.351,38.47,26.76,21.09,Actual,64.225,51.773999999999994,12.451,2017_Actual
2018,265.595,101.839,70.898,59.531,38.34,26.69,22.41,Actual,77.434,64.121,13.313,2018_Actual
2019,260.174,98.392,63.93,55.256,37.82,24.57,21.24,Actual,69.391,58.89600000000001,10.495,2019_Actual
2020,274.515,104.956,66.288,57.411,38.23,24.15,20.91,Actual,80.674,73.36500000000001,7.309,2020_Actual
2021,365.817,152.836,108.949,94.68,41.78,29.78,25.88,Actual,104.038,92.953,11.085,2021_Actual
2022,394.328,170.782,119.437,99.803,43.31,30.29,25.31,Actual,122.151,111.443,10.708,2022_Actual
2029,587.45,234.98,170.36,131.59,40.0,29.0,22.4,Bull,155.09,128.65,26.44,2029_Bull
2030,583.69,221.8,151.76,115.28,38.0,26.0,19.8,Base,141.54,112.36,29.18,2030_Base
2030,506.32,177.21,111.39,81.87,35.0,22.0,16.2,Bear,107.19,79.34,27.85,2030_Bear
2030,640.32,256.13,185.69,143.43,40.0,29.0,22.4,Bull,169.04,140.23,28.81,2030_Bull
2031,624.55,237.33,162.38,123.35,38.0,26.0,19.7,Base,151.45,120.22,31.23,2031_Base
2031,526.58,184.3,115.85,85.15,35.0,22.0,16.2,Bear,111.48,82.51,28.96,2031_Bear
2031,697.94,279.18,202.4,156.34,40.0,29.0,22.4,Bull,184.26,152.85,31.41,2031_Bull
2027,450.12,157.54,99.03,72.78,35.0,22.0,16.2,Bear,95.29,70.53,24.76,2027_Bear
2027,494.44,197.78,143.39,110.75,40.0,29.0,22.4,Bull,130.53,108.28,22.25,2027_Bull
2028,509.82,193.73,132.55,100.69,38.0,26.0,19.8,Base,123.63,98.14,25.49,2028_Base
2028,468.12,163.84,102.99,75.7,35.0,22.0,16.2,Bear,99.1,73.36,25.75,2028_Bear
2028,538.94,215.58,156.29,120.72,40.0,29.0,22.4,Bull,142.28,118.03,24.25,2028_Bull
2029,545.5,207.29,141.83,107.74,38.0,26.0,19.7,Base,132.28,105.01,27.28,2029_Base
2029,486.85,170.4,107.11,78.72,35.0,22.0,16.2,Bear,103.07,76.29,26.78,2029_Bear
