Metric Name,09/30/2025,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
"Cash On Hand","54697.00000","65171.00000","61555.00000","48304.00000","62639.00000","90943.00000","100557.00000","66301.00000","74181.00000","67155.00000","41601.00000","25077.00000","40546.00000","29129.00000","25952.00000","25620.00000","23464.00000","22111.00000","15386.00000","10110.00000","8261.00000","5464.00000","4566.00000","4337.00000","4336.00000","4027.00000","3226.00000","2300.00000","1459.00000","1745.00000","952.00000","1257.85600","892.30300","1435.50000","892.71900","997.09100","808.95000","545.71700","565.09400","576.21500"
"Receivables","72957.00000","66243.00000","60985.00000","60932.00000","51506.00000","37445.00000","45804.00000","48995.00000","35673.00000","29299.00000","30343.00000","27219.00000","20641.00000","18692.00000","11717.00000","9924.00000","5057.00000","2422.00000","1637.00000","1252.00000","895.00000","774.00000","766.00000","565.00000","466.00000","953.00000","681.00000","955.00000","1035.00000","1496.00000","1931.00000","1581.34700","1381.94600","1087.18500","907.15900","761.86800","792.82400","638.81600","405.63700","263.12600"
"Inventory","5718.00000","7286.00000","6331.00000","4946.00000","6580.00000","4061.00000","4106.00000","3956.00000","4855.00000","2132.00000","2349.00000","2111.00000","1764.00000","791.00000","776.00000","1051.00000","455.00000","509.00000","346.00000","270.00000","165.00000","101.00000","56.00000","45.00000","11.00000","33.00000","20.00000","78.00000","437.00000","662.00000","1775.00000","1088.43400","1506.63800","580.09700","671.65500","355.47300","475.37700","461.47000","225.75300","108.68000"
"Pre-Paid Expenses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other Current Assets","14585.00000","14287.00000","14695.00000","21223.00000","14111.00000","11264.00000","12352.00000","12087.00000","13936.00000","8283.00000","15085.00000","9806.00000","6882.00000","6458.00000","4529.00000","3447.00000","1444.00000","3920.00000","3805.00000","2270.00000","648.00000","485.00000","309.00000","275.00000","161.00000","252.00000","358.00000","365.00000","493.00000","612.00000","566.00000","548.81500","557.46800","455.61200","392.07700","288.89400","217.27700","136.99100","110.94100","92.91300"
"Total Current Assets","147957.00000","152987.00000","143566.00000","135405.00000","134836.00000","143713.00000","162819.00000","131339.00000","128645.00000","106869.00000","89378.00000","68531.00000","73286.00000","57653.00000","44988.00000","41678.00000","31555.00000","30006.00000","21956.00000","14509.00000","10300.00000","7055.00000","5887.00000","5388.00000","5143.00000","5427.00000","4285.00000","3698.00000","3424.00000","4515.00000","5224.00000","4476.45200","4338.35500","3558.39400","2863.61000","2403.32600","2294.42800","1782.99400","1307.42500","1040.93400"
"Property, Plant, And Equipment","49834.00000","45680.00000","43715.00000","42117.00000","39440.00000","36766.00000","37378.00000","41304.00000","33783.00000","27010.00000","22471.00000","20624.00000","16597.00000","15452.00000","7777.00000","4768.00000","2954.00000","2455.00000","1832.00000","1281.00000","817.00000","707.00000","669.00000","621.00000","564.00000","419.00000","318.00000","348.00000","486.00000","598.00000","711.00000","667.10000","659.54600","462.22100","447.97800","398.16500","334.22700","207.35700","130.43400","107.31500"
"Long-Term Investments","77723.00000","91479.00000","100544.00000","120805.00000","127877.00000","100887.00000","105341.00000","170799.00000","194714.00000","170430.00000","164065.00000","130162.00000","106215.00000","92122.00000","55618.00000","25391.00000","10528.00000","2379.00000","","","","","","","128.00000","786.00000","","","","","","","","","","","","","",""
"Goodwill And Intangible Assets","","","","","","","","","","8620.00000","9009.00000","8758.00000","5756.00000","5359.00000","4432.00000","1083.00000","453.00000","492.00000","337.00000","177.00000","96.00000","97.00000","109.00000","119.00000","76.00000","","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"Other Long-Term Assets","83727.00000","74834.00000","64758.00000","54428.00000","48849.00000","42522.00000","32978.00000","22283.00000","18177.00000","8757.00000","5422.00000","3764.00000","5146.00000","5478.00000","3556.00000","2263.00000","2011.00000","839.00000","1222.00000","1238.00000","303.00000","191.00000","150.00000","170.00000","110.00000","171.00000","558.00000","243.00000","323.00000","251.00000","296.00000","159.19400","173.51100","203.07800","182.00900","174.21600","115.24400","91.73500","40.07200","11.87900"
"Total Long-Term Assets","211284.00000","211993.00000","209017.00000","217350.00000","216166.00000","180175.00000","175697.00000","234386.00000","246674.00000","214817.00000","200967.00000","163308.00000","133714.00000","118411.00000","71383.00000","33505.00000","15946.00000","6165.00000","3391.00000","2696.00000","1216.00000","995.00000","928.00000","910.00000","878.00000","1376.00000","876.00000","591.00000","809.00000","849.00000","1007.00000","826.29390","833.05700","665.29900","629.98700","572.38100","449.47100","299.09200","170.50600","119.19400"
