Metric Name,09/30/2025,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
"Net Income/Loss","112010.00000","93736.00000","96995.00000","99803.00000","94680.00000","57411.00000","55256.00000","59531.00000","48351.00000","45687.00000","53394.00000","39510.00000","37037.00000","41733.00000","25922.00000","14013.00000","8235.00000","6119.00000","3495.00000","1989.00000","1328.00000","266.00000","69.00000","65.00000","-25.00000","786.00000","601.00000","309.00000","-1045.00000","-816.00000","424.00000","310.17800","86.58900","530.37300","309.84100","474.89500","454.03300","400.25800","217.49600","153.96300"
"Total Depreciation And Amortization - Cash Flow","11698.00000","11445.00000","11519.00000","11104.00000","11284.00000","11056.00000","12547.00000","10903.00000","10157.00000","10505.00000","11257.00000","7946.00000","6757.00000","3277.00000","1814.00000","1027.00000","734.00000","496.00000","327.00000","225.00000","179.00000","150.00000","113.00000","114.00000","100.00000","84.00000","85.00000","111.00000","118.00000","156.00000","127.00000","167.95800","166.11300","217.18200","204.43300","202.68600","124.80000","77.67700","70.51600","51.07500"
"Other Non-Cash Items","12774.00000","9422.00000","8606.00000","10044.00000","2985.00000","6517.00000","5076.00000","-27694.00000","10640.00000","9634.00000","5353.00000","5210.00000","3394.00000","6145.00000","4036.00000","2319.00000","1750.00000","936.00000","327.00000","231.00000","536.00000","150.00000","-12.00000","21.00000","-112.00000","-194.00000","","","","","","","","","","","","","",""
"Total Non-Cash Items","24472.00000","20867.00000","20125.00000","21148.00000","14269.00000","17573.00000","17623.00000","-16791.00000","20797.00000","20139.00000","16610.00000","13156.00000","10151.00000","9422.00000","5850.00000","3346.00000","2484.00000","1432.00000","654.00000","456.00000","715.00000","300.00000","101.00000","135.00000","-12.00000","-110.00000","85.00000","111.00000","118.00000","156.00000","127.00000","167.95800","166.11300","217.18200","204.43300","202.68600","124.80000","77.67700","70.51600","51.07500"
"Change In Accounts Receivable","-6682.00000","-3788.00000","-1688.00000","-1823.00000","-10125.00000","6917.00000","245.00000","-5322.00000","-2093.00000","527.00000","417.00000","-4232.00000","-2172.00000","-5551.00000","143.00000","-2142.00000","-939.00000","-785.00000","-385.00000","-357.00000","-121.00000","-8.00000","-201.00000","-99.00000","487.00000","-272.00000","","","","","","","","","","","","","",""
"Change In Inventories","1400.00000","-1046.00000","-1618.00000","1484.00000","-2642.00000","-127.00000","-289.00000","828.00000","-2723.00000","217.00000","-238.00000","-76.00000","-973.00000","-15.00000","275.00000","-596.00000","54.00000","-163.00000","-76.00000","-105.00000","-64.00000","-45.00000","-11.00000","-34.00000","22.00000","-13.00000","","","","","","","","","","","","","",""
"Change In Accounts Payable","902.00000","6020.00000","-1889.00000","9448.00000","12326.00000","-4062.00000","-1923.00000","9175.00000","8966.00000","2117.00000","5001.00000","5938.00000","2340.00000","4467.00000","2515.00000","6307.00000","92.00000","596.00000","1494.00000","1611.00000","328.00000","297.00000","243.00000","110.00000","-356.00000","318.00000","","","","","","","","","","","","","",""
"Change In Assets/Liabilities","-20620.00000","2465.00000","-1382.00000","-7909.00000","-4470.00000","2962.00000","-1521.00000","30013.00000","-9073.00000","-2456.00000","6082.00000","5417.00000","7283.00000","800.00000","2824.00000","-2333.00000","233.00000","2397.00000","288.00000","-1374.00000","349.00000","124.00000","88.00000","-88.00000","69.00000","159.00000","","","","","","","","","","","","","",""
"Total Change In Assets/Liabilities","-25000.00000","3651.00000","-6577.00000","1200.00000","-4911.00000","5690.00000","-3488.00000","34694.00000","-4923.00000","405.00000","11262.00000","7047.00000","6478.00000","-299.00000","5757.00000","1236.00000","-560.00000","2045.00000","1321.00000","-225.00000","492.00000","368.00000","119.00000","-111.00000","222.00000","192.00000","377.00000","387.00000","670.00000","1109.00000","-797.00000","247.72900","-927.68400","121.50400","-392.55800","284.09800","2.41100","-274.40200","93.65900","47.24100"
"Cash Flow From Operating Activities","111482.00000","118254.00000","110543.00000","122151.00000","104038.00000","80674.00000","69391.00000","77434.00000","64225.00000","66231.00000","81266.00000","59713.00000","53666.00000","50856.00000","37529.00000","18595.00000","10159.00000","9596.00000","5470.00000","2220.00000","2535.00000","934.00000","289.00000","89.00000","185.00000","868.00000","798.00000","775.00000","188.00000","519.00000","-240.00000","736.99500","-661.83700","883.74600","128.67100","963.86500","507.34700","294.44000","383.97300","261.76700"
