Metric Name,09/30/2025,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
"Revenue","416161.00000","391035.00000","383285.00000","394328.00000","365817.00000","274515.00000","260174.00000","265595.00000","229234.00000","215639.00000","233715.00000","182795.00000","170910.00000","156508.00000","108249.00000","65225.00000","42905.00000","37491.00000","24578.00000","19315.00000","13931.00000","8279.00000","6207.00000","5742.00000","5363.00000","7983.00000","6134.00000","5941.00000","7081.00000","9833.00000","11062.00000","9188.74800","7976.95400","7086.54200","6308.84900","5558.43500","5284.01300","4071.37300","2661.06800","1901.89800"
"Cost Of Goods Sold","220960.00000","210352.00000","214137.00000","223546.00000","212981.00000","169559.00000","161782.00000","163756.00000","141048.00000","131376.00000","140089.00000","112258.00000","106606.00000","87846.00000","64431.00000","39541.00000","25683.00000","24294.00000","16426.00000","13717.00000","9889.00000","6022.00000","4499.00000","4139.00000","4128.00000","5817.00000","4438.00000","4462.00000","5713.00000","8865.00000","8204.00000","6844.91500","5248.83400","3991.33700","3314.11800","2606.22300","2694.82300","1990.87900","1296.22000","891.11200"
"Gross Profit","195201.00000","180683.00000","169148.00000","170782.00000","152836.00000","104956.00000","98392.00000","101839.00000","88186.00000","84263.00000","93626.00000","70537.00000","64304.00000","68662.00000","43818.00000","25684.00000","17222.00000","13197.00000","8152.00000","5598.00000","4042.00000","2257.00000","1708.00000","1603.00000","1235.00000","2166.00000","1696.00000","1479.00000","1368.00000","968.00000","2858.00000","2343.83300","2728.12000","3095.20500","2994.73100","2952.21200","2589.19000","2080.49400","1364.84800","1010.78600"
"Research And Development Expenses","34550.00000","31370.00000","29915.00000","26251.00000","21914.00000","18752.00000","16217.00000","14236.00000","11581.00000","10045.00000","8067.00000","6041.00000","4475.00000","3381.00000","2429.00000","1782.00000","1333.00000","1109.00000","782.00000","712.00000","535.00000","491.00000","471.00000","446.00000","430.00000","380.00000","314.00000","303.00000","485.00000","604.00000","614.00000","564.30300","664.56400","602.13500","583.04600","478.01900","420.08300","272.51200","191.55400","127.75800"
"SG&A Expenses","27601.00000","26097.00000","24932.00000","25094.00000","21973.00000","19916.00000","18245.00000","16705.00000","15261.00000","14194.00000","14329.00000","11993.00000","10830.00000","10040.00000","7599.00000","5517.00000","4149.00000","3761.00000","2963.00000","2433.00000","1864.00000","1430.00000","1212.00000","1109.00000","1138.00000","1166.00000","996.00000","908.00000","1286.00000","1568.00000","1583.00000","1384.11100","1632.36200","1687.26200","1740.29300","1762.18100","1534.79400","1187.64400","801.85600","609.49700"
"Other Operating Income Or Expenses","","","","","","","","","","","","","","","","","","","","","","","","","","-90.00000","","","","","","","","","","","","","",""
"Operating Expenses","62151.00000","57467.00000","54847.00000","51345.00000","43887.00000","38668.00000","34462.00000","30941.00000","26842.00000","24239.00000","22396.00000","18034.00000","15305.00000","13421.00000","10028.00000","7299.00000","5482.00000","4870.00000","3745.00000","3145.00000","2399.00000","1944.00000","1709.00000","1586.00000","1579.00000","1644.00000","1310.00000","1211.00000","1771.00000","2172.00000","2197.00000","1948.41400","2296.92600","2289.39600","2323.33900","2240.20000","1954.87700","1460.15600","993.41000","737.25500"
"Operating Income","133050.00000","123216.00000","114301.00000","119437.00000","108949.00000","66288.00000","63930.00000","70898.00000","61344.00000","60024.00000","71230.00000","52503.00000","48999.00000","55241.00000","33790.00000","18385.00000","11740.00000","8327.00000","4407.00000","2453.00000","1643.00000","313.00000","-1.00000","17.00000","-344.00000","522.00000","386.00000","268.00000","-403.00000","-1204.00000","661.00000","395.41890","431.19430","805.80860","671.39210","712.01220","634.31300","620.33790","371.43820","273.53100"
"Total Non-Operating Income/Expense","-321.00000","269.00000","-565.00000","-334.00000","258.00000","803.00000","1807.00000","2005.00000","2745.00000","1348.00000","1285.00000","980.00000","1156.00000","522.00000","415.00000","155.00000","326.00000","620.00000","599.00000","365.00000","165.00000","57.00000","93.00000","70.00000","292.00000","570.00000","290.00000","61.00000","-642.00000","-91.00000","13.00000","104.86700","-291.53500","49.63400","-171.64800","66.50500","110.00900","35.82300","38.93000","36.18700"
"Pre-Tax Income","132729.00000","123485.00000","113736.00000","119103.00000","109207.00000","67091.00000","65737.00000","72903.00000","64089.00000","61372.00000","72515.00000","53483.00000","50155.00000","55763.00000","34205.00000","18540.00000","12066.00000","8947.00000","5006.00000","2818.00000","1808.00000","370.00000","92.00000","87.00000","-52.00000","1092.00000","676.00000","329.00000","-1045.00000","-1295.00000","674.00000","500.28600","139.65900","855.44200","499.74400","778.51700","744.32200","656.16100","410.36800","309.71800"
