Date,Revenue,COGS,GrossProfit,RD,SGA,Other_Operating_Income_Or_Expenses,Operating_Expenses,EBIT,Total_Non_Operating_Income_Expense,Pre_Tax_Income,Tax,Income_After_Taxes,Other_Income,Income_From_Continuous_Operations,Income_From_Discontinued_Operations,NetIncome,EBITDA,Basic_Shares_Outstanding,Shares_Outstanding,Basic_EPS,EPS_Earnings_Per_Share,Year,GrossMargin_pct,EBITMargin_pct,NetMargin_pct,Scenario
2022-09-30,394.328,223.546,170.782,26.251,25.094,NaN,51345.0,119.437,-334.0,119103.0,19.3,99803.0,NaN,99803.0,NaN,99.803,130.541,16215.96,16325.82,6.15,6.11,2022,43.31,30.29,25.31,Actual
2023-09-30,383.285,214.137,169.148,29.915,24.932,NaN,54847.0,114.301,-565.0,113736.0,16.741,96995.0,NaN,96995.0,NaN,96.995,125.82,15744.23,15812.55,6.16,6.13,2023,44.13,29.82,25.31,Actual
2024-09-30,391.035,210.352,180.683,31.37,26.097,NaN,57467.0,123.216,269.0,123485.0,29.749,93736.0,NaN,93736.0,NaN,93.736,134.661,15343.78,15408.09,6.11,6.08,2024,46.21,31.51,23.97,Actual
2025-09-30,416.161,220.96,195.201,34.55,27.601,NaN,62151.0,133.05,-321.0,132729.0,20.719,112010.0,NaN,112010.0,NaN,112.01,144.748,14948.5,15004.7,7.49,7.46,2025,46.91,31.97,26.92,Actual
2018-09-30,265.595,163.756,101.839,14.236,16.705,NaN,30941.0,70.898,2005.0,72903.0,13.372,59531.0,NaN,59531.0,NaN,59.531,81.801,19821.51,20000.44,3.0,2.98,2018,38.34,26.69,22.41,Actual
2019-09-30,260.174,161.782,98.392,16.217,18.245,NaN,34462.0,63.93,1807.0,65737.0,10.481,55256.0,NaN,55256.0,NaN,55.256,76.477,18471.34,18595.65,2.99,2.97,2019,37.82,24.57,21.24,Actual
2020-09-30,274.515,169.559,104.956,18.752,19.916,NaN,38668.0,66.288,803.0,67091.0,9.68,57411.0,NaN,57411.0,NaN,57.411,77.344,17352.12,17528.21,3.31,3.28,2020,38.23,24.15,20.91,Actual
2021-09-30,365.817,212.981,152.836,21.914,21.973,NaN,43887.0,108.949,258.0,109207.0,14.527,94680.0,NaN,94680.0,NaN,94.68,120.233,16701.27,16864.92,5.67,5.61,2021,41.78,29.78,25.88,Actual
2016-09-30,215.639,131.376,84.263,10.045,14.194,NaN,24239.0,60.024,1348.0,61372.0,15.685,45687.0,NaN,45687.0,NaN,45.687,70.529,21883.28,22001.12,2.0875,2.0775,2016,39.08,27.84,21.19,Actual
2017-09-30,229.234,141.048,88.186,11.581,15.261,NaN,26842.0,61.344,2745.0,64089.0,15.738,48351.0,NaN,48351.0,NaN,48.351,71.501,20868.97,21006.77,2.3175,2.3025,2017,38.47,26.76,21.09,Actual
